,Energy,mu/rou,mu_en/rou
0,0.001,2211.0,2209.0
1,0.0015,700.2,699.0
2,0.002,302.6,301.6
3,0.003,90.33,89.63
4,0.004,37.78,37.23
5,0.005,19.12,18.66
6,0.006,10.95,10.54
7,0.008,4.5760000000000005,4.242
8,0.01,2.373,2.0780000000000003
9,0.015,0.8071,0.5627
10,0.02,0.442,0.2238
11,0.03,0.2562,0.06614
12,0.04,0.2076,0.03343
13,0.05,0.1871,0.023969999999999998
14,0.06,0.1753,0.020980000000000002
15,0.08,0.161,0.02037
16,0.1,0.1514,0.02147
17,0.15,0.1347,0.02449
18,0.2,0.1229,0.02655
19,0.3,0.1066,0.0287
20,0.4,0.09546,0.0295
21,0.5,0.08715,0.029689999999999998
22,0.6,0.08058,0.029560000000000003
23,0.8,0.07076,0.02885
24,1.0,0.06361,0.02792
25,1.25,0.0569,0.02669
26,1.5,0.051789999999999996,0.025509999999999998
27,2.0,0.04442,0.02345
28,3.0,0.03562,0.02048
29,4.0,0.03047,0.01849
30,5.0,0.02708,0.0171
31,6.0,0.02469,0.016069999999999997
32,8.0,0.02154,0.01468
33,10.0,0.01959,0.0138
34,15.0,0.016980000000000002,0.01258
35,20.0,0.01575,0.01198
