,Energy,mu/rou,mu_en/rou
0,0.001,7.2170000000000005,6.82
1,0.0015,2.148,1.7519999999999998
2,0.002,1.0590000000000002,0.6643
3,0.003,0.5612,0.1693
4,0.004,0.4546,0.06548999999999999
5,0.005,0.4193,0.032780000000000004
6,0.006,0.4042,0.01996
7,0.008,0.3914,0.0116
8,0.01,0.3854,0.009849
9,0.015,0.3764,0.01102
10,0.02,0.3695,0.01355
11,0.03,0.357,0.01863
12,0.04,0.3458,0.02315
13,0.05,0.3355,0.027089999999999996
14,0.06,0.326,0.03053
15,0.08,0.3091,0.0362
16,0.1,0.2944,0.04063
17,0.15,0.2651,0.04813
18,0.2,0.2429,0.052539999999999996
19,0.3,0.2112,0.05695
20,0.4,0.1893,0.0586
21,0.5,0.1729,0.059
22,0.6,0.1599,0.05875
23,0.8,0.1405,0.05739
24,1.0,0.1263,0.055560000000000005
25,1.25,0.1129,0.053110000000000004
26,1.5,0.1027,0.05075
27,2.0,0.08769,0.0465
28,3.0,0.06921000000000001,0.03992
29,4.0,0.05806,0.035230000000000004
30,5.0,0.05049,0.03174
31,6.0,0.04498,0.02905
32,8.0,0.03746,0.02515
33,10.0,0.03254,0.02247
34,15.0,0.02539,0.018369999999999997
35,20.0,0.02153,0.016059999999999998
