,Energy,mu/rou,mu_en/rou
0,0.001,3311.0,3306.0
1,0.0015,1083.0,1080.0
2,0.002,476.9,475.5
3,0.003,145.6,144.7
4,0.004,61.66,60.94
5,0.005,31.44,30.86
6,0.006,18.09,17.59
7,0.008,7.562,7.17
8,0.01,3.8789999999999996,3.545
9,0.015,1.236,0.9715
10,0.02,0.6178,0.3867
11,0.03,0.3066,0.1099
12,0.04,0.2288,0.05051
13,0.05,0.198,0.03217
14,0.06,0.1817,0.025480000000000003
15,0.08,0.1639,0.022109999999999998
16,0.1,0.1529,0.02231
17,0.15,0.1353,0.02472
18,0.2,0.1233,0.02665
19,0.3,0.1068,0.028730000000000002
20,0.4,0.09557,0.029519999999999998
21,0.5,0.08719,0.029689999999999998
22,0.6,0.08063,0.029560000000000003
23,0.8,0.07081,0.028860000000000004
24,1.0,0.06364,0.02792
25,1.25,0.056929999999999994,0.02669
26,1.5,0.0518,0.0255
27,2.0,0.0445,0.023469999999999998
28,3.0,0.035789999999999995,0.020569999999999998
29,4.0,0.03073,0.01867
30,5.0,0.02742,0.01734
31,6.0,0.02511,0.016390000000000002
32,8.0,0.022090000000000002,0.015119999999999998
33,10.0,0.02024,0.01434
34,15.0,0.01782,0.013319999999999999
35,20.0,0.016730000000000002,0.01285
