,Energy,mu/rou,mu_en/rou
0,0.001,4590.0,4576.0
1,0.0015,1549.0,1545.0
2,0.002,694.9,692.6
3,0.003,217.1,215.8
4,0.004,93.15,92.21
5,0.005,47.9,47.15
6,0.006,27.7,27.08
7,0.008,11.63,11.16
8,0.01,5.952000000000001,5.565
9,0.015,1.8359999999999999,1.545
10,0.02,0.8651,0.6179
11,0.03,0.3779,0.1729
12,0.04,0.2585,0.0753
13,0.05,0.2132,0.04414
14,0.06,0.1907,0.03207
15,0.08,0.1678,0.02468
16,0.1,0.1551,0.02355
17,0.15,0.1361,0.02506
18,0.2,0.1237,0.026789999999999998
19,0.3,0.107,0.02877
20,0.4,0.09566000000000001,0.02953
21,0.5,0.08728999999999999,0.029710000000000004
22,0.6,0.0807,0.02957
23,0.8,0.07087,0.02887
24,1.0,0.06372,0.027939999999999996
25,1.25,0.05697000000000001,0.02669
26,1.5,0.05185,0.025509999999999998
27,2.0,0.04459,0.0235
28,3.0,0.03597,0.020659999999999998
29,4.0,0.031,0.01882
30,5.0,0.02777,0.01757
31,6.0,0.025519999999999998,0.01668
32,8.0,0.02263,0.01553
33,10.0,0.02089,0.014830000000000001
34,15.0,0.01866,0.01396
35,20.0,0.0177,0.0136
