,Energy,mu/rou,mu_en/rou
0,0.001,2429.0,2426.0
1,0.0015,834.2,831.4
2,0.002,385.3,382.8
3,0.002472,216.8,214.5
4,0.0024721,2070.0,1935.0
5,0.003,1339.0,1265.0
6,0.004,633.8,606.6
7,0.005,348.7,336.0
8,0.006,211.6,204.6
9,0.008,94.65,91.71
10,0.01,50.12,48.47
11,0.015,15.5,14.77
12,0.02,6.707999999999999,6.235
13,0.03,2.113,1.8090000000000002
14,0.04,0.9872,0.7466
15,0.05,0.5849,0.3779
16,0.06,0.4053,0.2199
17,0.08,0.2585,0.1
18,0.1,0.202,0.060520000000000004
19,0.15,0.1506,0.035160000000000004
20,0.2,0.1302,0.0308
21,0.3,0.1091,0.029830000000000002
22,0.4,0.09665,0.029910000000000003
23,0.5,0.08781,0.02984
24,0.6,0.08102000000000001,0.029589999999999998
25,0.8,0.07098,0.02878
26,1.0,0.06373,0.0278
27,1.25,0.05697000000000001,0.02652
28,1.5,0.05193,0.02535
29,2.0,0.04498,0.02349
30,3.0,0.03715,0.02118
31,4.0,0.03293,0.01993
32,5.0,0.03036,0.01923
33,6.0,0.02872,0.01884
34,8.0,0.02682,0.0185
35,10.0,0.025889999999999996,0.01845
36,15.0,0.025169999999999998,0.01864
37,20.0,0.02529,0.01889
