,Z,syb,Element,Z/A,I,Density
0,1,H,Hydrogen,0.9921200000000001,19.2,8.379999999999999e-05
1,2,He,Helium,0.49968,41.8,0.000166
2,3,Li,Lithium,0.43221000000000004,40.0,0.534
3,4,Be,Beryllium,0.44383999999999996,63.7,1.85
4,5,B,Boron,0.46245,76.0,2.37
5,6,C,"Carbon, Graphite",0.49954,78.0,1.7
6,7,N,Nitrogen,0.49976000000000004,82.0,0.00117
7,8,O,Oxygen,0.50002,95.0,0.00133
8,9,F,Fluorine,0.47372,115.0,0.00158
9,10,Ne,Neon,0.49555,137.0,0.000839
10,11,Na,Sodium,0.47847,149.0,0.971
11,12,Mg,Magnesium,0.49373,156.0,1.74
12,13,Al,Aluminum,0.48181,166.0,2.7
13,14,Si,Silicon,0.49848000000000003,173.0,2.33
14,15,P,Phosphorus,0.48428000000000004,173.0,2.2
15,16,S,Sulfur,0.49896999999999997,180.0,2.0
16,17,Cl,Chlorine,0.47951000000000005,174.0,0.003
17,18,Ar,Argon,0.45059,188.0,0.0016600000000000002
18,19,K,Potassium,0.48595,190.0,0.862
19,20,Ca,Calcium,0.49903000000000003,191.0,1.55
20,21,Sc,Scandium,0.46712,216.0,2.99
21,22,Ti,Titanium,0.45948,233.0,4.54
22,23,V,Vanadium,0.4515,245.0,6.11
23,24,Cr,Chromium,0.46157,257.0,7.18
24,25,Mn,Manganese,0.45506,272.0,7.44
25,26,Fe,Iron,0.46556000000000003,286.0,7.87
26,27,Co,Cobalt,0.45815,297.0,8.9
27,28,Ni,Nickel,0.47708,311.0,8.9
28,29,Cu,Copper,0.45636000000000004,322.0,8.96
29,30,Zn,Zinc,0.45879,330.0,7.13
30,31,Ga,Gallium,0.44461999999999996,334.0,5.9
31,32,Ge,Germanium,0.44071000000000005,350.0,5.32
32,33,As,Arsenic,0.44046,347.0,5.73
33,34,Se,Selenium,0.4306,348.0,4.5
34,35,Br,Bromine,0.43803000000000003,343.0,0.00707
35,36,Kr,Krypton,0.42958999999999997,352.0,0.0034799999999999996
36,37,Rb,Rubidium,0.43291,363.0,1.53
37,38,Sr,Strontium,0.43368999999999996,366.0,2.54
38,39,Y,Yttrium,0.43867,379.0,4.47
39,40,Zr,Zirconium,0.43848000000000004,393.0,6.51
40,41,Nb,Niobium,0.4413,417.0,8.57
41,42,Mo,Molybdenum,0.43777,424.0,10.2
42,43,Tc,Technetium,0.43918999999999997,428.0,11.5
43,44,Ru,Ruthenium,0.43533999999999995,441.0,12.4
44,45,Rh,Rhodium,0.43728999999999996,449.0,12.4
45,46,Pd,Palladium,0.43225,470.0,12.0
46,47,Ag,Silver,0.43572,470.0,10.5
47,48,Cd,Cadmium,0.42700000000000005,469.0,8.65
48,49,In,Indium,0.42676000000000003,488.0,7.31
49,50,Sn,Tin,0.4212,488.0,7.31
50,51,Sb,Antimony,0.41889,487.0,6.69
51,52,Te,Tellurium,0.40752,485.0,6.24
52,53,I,Iodine,0.41763999999999996,491.0,4.93
53,54,Xe,Xenon,0.4113,482.0,0.00549
54,55,Cs,Cesium,0.41383000000000003,488.0,1.87
55,56,Ba,Barium,0.40779,491.0,3.5
56,57,La,Lanthanum,0.41035,501.0,6.15
57,58,Ce,Cerium,0.41395,523.0,6.66
58,59,Pr,Praseodymium,0.41871,535.0,6.71
59,60,Nd,Neodymium,0.41597,546.0,6.9
60,61,Pm,Promethium,0.42094,560.0,7.22
61,62,Sm,Samarium,0.41234,574.0,7.46
62,63,Eu,Europium,0.41457,580.0,5.24
63,64,Gd,Gadolinium,0.40699,591.0,7.9
64,65,Tb,Terbium,0.409,614.0,8.23
65,66,Dy,Dysprosium,0.40615,628.0,8.55
66,67,Ho,Holmium,0.40623000000000004,650.0,8.8
67,68,Er,Erbium,0.40655,658.0,9.07
68,69,Tm,Thulium,0.40844,674.0,9.32
69,70,Yb,Ytterbium,0.40453,684.0,6.73
70,71,Lu,Lutetium,0.40579,694.0,9.84
71,72,Hf,Hafnium,0.40338,705.0,13.3
72,73,Ta,Tantalum,0.40343,718.0,16.7
73,74,W,Tungsten,0.4025,727.0,19.3
74,75,Re,Rhenium,0.40278,736.0,21.0
75,76,Os,Osmium,0.39958,746.0,22.6
76,77,Ir,Iridium,0.40058,757.0,22.4
77,78,Pt,Platinum,0.39984000000000003,790.0,21.5
78,79,Au,Gold,0.40108,790.0,19.3
79,80,Hg,Mercury,0.39882,800.0,13.6
80,81,Tl,Thallium,0.39631,810.0,11.7
81,82,Pb,Lead,0.39575,823.0,11.4
82,83,Bi,Bismuth,0.39716999999999997,823.0,9.75
83,84,Po,Polonium,0.40195,830.0,9.32
84,85,At,Astatine,0.40479,825.0,10.0
85,86,Rn,Radon,0.38736,794.0,0.00907
86,87,Fr,Francium,0.3901,827.0,10.0
87,88,Ra,Radium,0.38934,826.0,5.0
88,89,Ac,Actinium,0.39202,841.0,10.1
89,90,Th,Thorium,0.38787,847.0,11.7
90,91,Pa,Protactinium,0.39388,878.0,15.4
91,92,U,Uranium,0.38650999999999996,890.0,19.0
